"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCLIFE","EQ","04-Dec-2020","        647.95","        652.00","        654.95","        640.10","        643.25","        643.25","        646.95","    4452423","          2880498467.55","      79853","    1763835","         39.62"
"HDFCLIFE","EQ","07-Dec-2020","        643.25","        645.10","        651.40","        641.85","        650.20","        649.55","        647.42","    4644396","          3006856352.10","     111928","    2492254","         53.66"
"HDFCLIFE","EQ","08-Dec-2020","        649.55","        652.55","        657.70","        644.00","        652.55","        651.50","        651.69","    4409047","          2873314548.45","     136542","    2172369","         49.27"
"HDFCLIFE","EQ","09-Dec-2020","        651.50","        655.50","        656.50","        645.00","        653.80","        652.60","        650.58","    4512763","          2935925986.90","      86079","    2690203","         59.61"
"HDFCLIFE","EQ","10-Dec-2020","        652.60","        656.10","        661.00","        645.65","        660.00","        659.45","        655.61","    5582666","          3660027131.50","      94898","    2666805","         47.77"
"HDFCLIFE","EQ","11-Dec-2020","        659.45","        663.90","        668.35","        655.25","        663.00","        664.50","        664.02","    6275768","          4167218065.70","     122296","    3626977","         57.79"
"HDFCLIFE","EQ","14-Dec-2020","        664.50","        667.45","        668.00","        653.25","        655.35","        655.75","        656.74","    2696137","          1770661188.75","      84322","    1516435","         56.24"
"HDFCLIFE","EQ","15-Dec-2020","        655.75","        659.90","        663.95","        644.75","        651.30","        651.45","        652.72","    4819043","          3145484326.20","      68258","    2515138","         52.19"
"HDFCLIFE","EQ","16-Dec-2020","        651.45","        655.40","        655.75","        647.25","        649.20","        648.70","        649.81","    2540833","          1651055961.95","      69780","    1360332","         53.54"
"HDFCLIFE","EQ","17-Dec-2020","        648.70","        651.00","        661.20","        650.25","        653.85","        654.55","        655.58","    4660373","          3055239402.85","      90993","    2189254","         46.98"
"HDFCLIFE","EQ","18-Dec-2020","        654.55","        656.30","        656.30","        640.00","        655.20","        654.10","        650.90","    2540821","          1653829950.00","      55239","    1370006","         53.92"
"HDFCLIFE","EQ","21-Dec-2020","        654.10","        646.00","        653.15","        617.40","        627.95","        629.20","        637.02","    3004002","          1913617599.95","      92680","    1356738","         45.16"
"HDFCLIFE","EQ","22-Dec-2020","        629.20","        630.00","        643.25","        620.60","        641.00","        641.25","        630.91","    3085304","          1946541538.90","      92102","    1417488","         45.94"
"HDFCLIFE","EQ","23-Dec-2020","        641.25","        641.25","        649.90","        633.75","        648.85","        648.60","        642.53","    2940595","          1889411138.50","      69114","    1420948","         48.32"
"HDFCLIFE","EQ","24-Dec-2020","        648.60","        651.70","        663.60","        649.00","        656.95","        657.25","        658.06","    3776278","          2485013417.65","      68947","    1326599","         35.13"
"HDFCLIFE","EQ","28-Dec-2020","        657.25","        661.85","        680.00","        657.70","        678.00","        678.70","        672.71","    5624012","          3783331877.35","      99574","    2274636","         40.45"
"HDFCLIFE","EQ","29-Dec-2020","        678.70","        683.00","        686.35","        670.15","        673.00","        673.20","        676.48","    4102480","          2775249788.75","      73346","    1475605","         35.97"
"HDFCLIFE","EQ","30-Dec-2020","        673.20","        679.00","        679.00","        667.00","        674.15","        675.70","        673.29","    2886107","          1943188878.75","      60576","    1217129","         42.17"
"HDFCLIFE","EQ","31-Dec-2020","        675.70","        676.70","        679.00","        669.55","        676.15","        676.50","        674.86","    2959814","          1997449440.30","      46595","    1642145","         55.48"
